tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,UUVfOID1Riv6QH8th3W-au_sNzxciKT0OOgPtHClh4maSNY,하이용,557,132,109,False,False,True,False
GRANDMASTER,P0HPxgrx8CTWAylPI4c27GccbaatEDV27ssJC9j5qKDOsuM,The shy,354,83,70,False,False,False,False
GRANDMASTER,8itBdy16bpm1nlRViOtB01q7XPiTpkkZfmI_vFUap-3bk4c,Medea Beliare,256,141,122,False,False,False,True
GRANDMASTER,Qy8bcyC2fWnT7Y0eH_WYMWjT8Ii11vDy7rohDKNKntr0JQ,Poison p,549,112,86,False,False,False,False
GRANDMASTER,pVyBLiztasHjMOFDA1AiiFpPGOMmGmTi4p7YbAJicJs7WQU,bulago,401,386,359,False,False,False,False
GRANDMASTER,fsWFfJzKPou0MKyy5OA4_HgcpIKbEwqpuxephqVom7xWIyM,북두칠성 간부,308,422,407,False,False,False,False
GRANDMASTER,SlbrsVA_E3QEGUPYqyBLFxasWPhGu6f14PxkguJmdCvpUoM,ANG TV,338,476,457,True,False,False,True
GRANDMASTER,C8yoMxu8krLKakiM7CwaObArCdVnhLnH46kRz3tDwczav5w,dodge game,567,378,345,False,False,True,True
GRANDMASTER,BrVeflu3PFAxXVec2djBQdNP27uPdswwGyRFelZYTnIhT_I,TnToT,391,302,279,True,False,False,False
GRANDMASTER,I_G5qmE2ev7K-gsxzpYma94QGeQwtc9r2NaWjMz5--ACJlo,펄스 Pulse,221,158,139,False,False,True,False
GRANDMASTER,aQcgwbiJhY515aBMuizkUUab1dl8abGIdF8v0xkuFEJBvg,청주시 조동민,215,161,145,False,False,False,False
GRANDMASTER,pEoRgso6rHzm8k7AM1lskf54OE0Ps2a-Tmoc0DD8xxU3MEM,03 MDL,256,369,350,False,False,True,False
GRANDMASTER,l2_qheLCeix2OMH3DwGEjrw2fnOYe2rz19iyzJtSMJOBS94,Kiirito,473,156,122,True,False,False,False
GRANDMASTER,Z9Z5YgOxeDcsoQCE5cSVOz4woB3U1vqp2Kzyoju_eN4NgV4,zoe fan,359,117,93,False,False,False,True
GRANDMASTER,R4HuDLx-_L1rtUHH9rg1yWJtrwfOZjKLJQyelVjAzR87Gw,1등찍을사나이,222,199,176,False,False,False,False
GRANDMASTER,NO28UebbO2RdopOUc4rA7YyDDW2uVSclVkgwzSNvpsvm7Kk,DRX Pleata,414,222,243,False,False,False,False
GRANDMASTER,6Bo8AiQsB5Z9fTQ0p728otdB_NY6Edbuq4D6b8btORG4fgE,추운날에는갈비탕,242,184,146,False,False,False,False
GRANDMASTER,UDS-1JshX5vKhxdyOX766qNtZCBVRe42QK8wJS3jWjqhZTY,YongMin2,201,317,282,False,False,False,False
GRANDMASTER,jsJ8oKo8uRL5otIsdar-OHAvs0a86S5CTkIJq_NWOyhCYgw,wake up,211,265,254,False,False,True,True
GRANDMASTER,rMyGnfOtS-pk82EleroaomuQOOb6-BtaA4vTarEZybX54w,Sup1997,208,120,101,False,False,False,False
GRANDMASTER,BJa_bxnzDC90BjStPPUfmoBjcDxidrF5YsX-wEABgYVvC_M,날 붙잡지 마라,266,239,241,False,False,False,False
GRANDMASTER,C_hpjwCt1N4spjqeYMLbVkRpI8s8uvku7-9H8kM_pCLFn2A,vcvcc,311,143,121,False,False,False,False
GRANDMASTER,GPqZfujIGFUas4Zw8XXT0uEP71X7W_LGsjSlpJBL-m1ZOQ,AlvinG0,241,419,392,False,False,False,False
GRANDMASTER,DZiBvMFdpRkaL5K2R0xjQY0mkv-n3VtMRqMLR9HZjMuu51g,vxznxncv,200,72,56,False,False,False,False
GRANDMASTER,_PKnDGakGdN1hLl-vawwTwzZ0cJiEheUcpW2N1yu4MWi5Q,호잇호잇이,245,216,175,True,False,False,False
GRANDMASTER,OVilTlGai4Vy1whpaaWh6lML_MD9AOJUv-4aGq7ebJXwDw,K tune,330,225,195,False,False,False,True
GRANDMASTER,FopqDSWL83gmus1u4wBV62o_TjprO7kQDz4N1TrfZ1U7eQ,CHANGMO2,229,276,260,False,False,True,True
GRANDMASTER,TCKeTD357n6I8GaysYMOdy-de7_rzoooJZ-ZFVkEr9ZMY-0,Raging,273,239,217,False,False,False,False
GRANDMASTER,reykfm8xMBu67WJjj5bn5hn_arqFw0SqBtWbsHxabLOoamI,개조형 파진포LV7,212,248,221,False,False,True,False
GRANDMASTER,ToiwbSKo-EK7vPWT764yx-Hqh6P8f2XalMxDExruzuNpDV4,재능충의 표본,291,174,90,True,False,False,False
GRANDMASTER,95RaRDoaMFnds_ZjfePnEC6dG1pdqkAoh-YUBugO6YJT7SM,hfdidi,472,291,277,False,False,False,False
GRANDMASTER,RpIPH9QNkcluXBylN624BtZeNtZkJ609X-XzgVgIFGuwtIc,ATM서폿,300,242,217,True,False,False,False
GRANDMASTER,EjoyctxYA3diWEHcxzgv5LQfKujs62JbYLgd7VT4c5k6ISo,LSLWYF,480,194,164,True,False,False,False
GRANDMASTER,lpG1h26uje1pQJUg-WnyI_8VXW2gfe3fDaSeVV47OYRfwFY,Co24,370,197,164,True,False,False,False
GRANDMASTER,QTV-TsJ_NSEANVuG3rTL8JoOWjjVERv3D7JJlaP_Srjq_pc,win very hard,441,358,347,False,False,True,False
GRANDMASTER,QlCOkxwAtJlklkrYsPR-5u_sUvdWWK1BBaIgPkMK4R9cCrc,jiejiejie,315,393,378,False,False,True,True
GRANDMASTER,bq-kz1MSKmmViHQPSMux5ikSn3k9Z5dsMMiGte5O1D-T1A,xingyixing,541,468,412,True,False,False,True
GRANDMASTER,qj82ckp3u3DocJaIXaHwiIjuX50r8sOv-YkkLQMy4G9tLGw,Viod,275,206,194,False,False,True,False
GRANDMASTER,RQ8Ki9l8tASTgb1PO91tog8W3MH-v-PXfFz6S2G3Nd9Glu8,wheniwasyourman,240,339,213,False,False,False,False
GRANDMASTER,5IW-BQh_zUuOeWwiqb7qPjDmT4N72OzsK7tDtK4j3c2oIw,울부짖는질리언,237,115,98,False,False,False,False
GRANDMASTER,S0OEtPXZrZhdpdTw56rd_fC96H_6d8235e5yiTOqr4eoNJc,HLE Mireu,557,274,250,False,False,True,False
GRANDMASTER,BG5ZPbOBxhyjPqDmgZvgcgKtGpGCfBLBr3WnglRFXC1sHc8,나는웃방천,261,173,137,True,False,False,False
GRANDMASTER,mpPji00hqcdrCPAKe6xS9q33HmJOkAJRSgAvDm5aWIiG4Fw,FA GLory,278,251,176,False,False,True,False
GRANDMASTER,n3Kgp5O08wWltINiH2wX0XnUc-suufsEv3nzoHDVmeQCIgo,구인수 케일,413,112,101,False,False,False,True
GRANDMASTER,v1Dhc5r-3SEMZ3A4YrRwQh9ANCVzJtxLtJ2ubgLu6aithTE,nu li yi ci,187,157,127,True,False,False,False
GRANDMASTER,jxFmjDt-c1HsXQGr5textIhWDOyFUeWWXATGxEtc5n89ZQ,재미가읍따,404,202,204,False,False,False,False
GRANDMASTER,YiXwdJy5UmvlpQVoubU1N09D3kzidHHt7QTaIwe8g3I4XPA,BRION CROCO,338,83,70,False,False,True,False
GRANDMASTER,LOo5XUY-AgtOUbaSSY7j_tv05XinFY0Pg4rxiJlOSo1bOWY,Luo Ya Xuan,225,89,79,False,False,True,False
GRANDMASTER,tMjkE2m3jMA6hnIp1hrs4HI7bCC6rng1Z2YggdDFRtRiBDw,Gaze  x,204,339,322,True,False,False,False
GRANDMASTER,iL1PC67N09waOe5epM394Akc8ONMJ_LYgujG0WnAp4nMTpY,Lei Meng Fans,238,301,297,False,False,True,False
GRANDMASTER,5FKw7okCoKhz3jEqavKRT1z-LHecrheugCjteQyPoYvFm1g,치 열,495,176,148,True,False,False,False
GRANDMASTER,qmMoMoJzVMC4hvF8xN3_NXgQl4Cj6cHwfeHo91cz7_AZ1qU,T1 Gumayusi 팬,243,208,199,True,False,False,False
GRANDMASTER,49PBUWaTNs9g9ZKrAv8d5yv98NV4wWeW7wtc_Uti6d7EJF8,FA 엄준식,424,314,286,True,False,False,False
GRANDMASTER,OJ_Sk1aSDFjlcRKLcaBC1bdhq5aomDGhA7Y3MC8ngLrnT1k,HLE Burger,422,404,392,False,False,True,False
GRANDMASTER,VCtKbXvPWoZKERZ9sQn0BLaxvaTH8WgOWl74-6D0c2OgykA,이 바다를 넘어서,270,323,258,False,False,True,False
GRANDMASTER,98fDJ0PBQlr-xHlED93phTnAdBq2o7Y0_dNpIZ-76xyUXFE,rknb,328,239,145,False,False,False,False
GRANDMASTER,q8Cgf_Z4lezMCu7X2Ls7l4WDGDqDAhS9NwMqM8HVEZ97XSw,당근양파오이무침,229,556,532,False,False,True,False
GRANDMASTER,lznn5T6rIOzZMJ3dc37cEefveVFQ1ekD5j4khi12-TBdMR0,S2 Doinb,335,280,258,True,False,False,False
GRANDMASTER,J2AS4iPanbYbgPJKdvQyuiC8AihkvpWlxt_iSCC1uaAk80U,impupupu,216,230,211,False,False,True,False
GRANDMASTER,ToHqYbCkqIbDAAHqNNarUNrzgbCipo9MeHMTjYJg1_OxXQ,인천토종닭,333,275,244,True,False,False,False
GRANDMASTER,kdVslCluXUQH-CnLUjTQJDx6rBJV-g2cdfe2_XvF8VOHfwQ,lllilililiii,337,48,62,False,False,False,False
GRANDMASTER,lnj9fnupgzrfZoeI2kLSOYkfij24ZsKPqDZu6cHE37CkThk,jiang cheng lu,240,369,355,False,False,False,False
GRANDMASTER,U_Ih8QBLi0VkCTbNjFKHFVFe6Zh5jLFYsrwStGdcZdrW9qg,Komica2,324,191,168,True,False,False,False
GRANDMASTER,c9QlVDAQmElJleI1iak-a4TBO-yvzCsHG31ddgBCnoXc24o,Folow Your Dream,270,112,94,False,False,True,False
GRANDMASTER,u3I-hNvAIdUFJKrjNgujrimVeEvuZ881KjmIFsagaPItS8M,정점파이크유튜브,375,217,192,False,False,True,True
GRANDMASTER,w9heve5RyA8k_3MZ72LC3_462G7YNPfbzpLGLAA5zcmQCUE,Synchronic1ty ,323,231,198,False,False,True,True
GRANDMASTER,dpQvnxTnl-fRFTTu3cijH4mwC5FZIPBRbo_J5ZHKmeWA3TI,liiiIlIIIlili,476,112,74,False,False,False,False
GRANDMASTER,WxxIrZGuvqyL47r0crUssQmXDShaUuPA9zR3_i22EzLT5C0,SANDBOX Ten10,604,193,198,False,False,True,False
GRANDMASTER,XILFsNBmVUYZ60r-NdNhGCVYXom-9IUfYMIVZj4xcZbi95g,Heimish 곰이,382,83,55,False,False,False,False
GRANDMASTER,9Hjfd56FunLRYfv9dzp8qUk8ztoQ04I4zpI5yV3nhLZjLw,SnowPowder,508,129,103,False,False,False,True
GRANDMASTER,pG4D9vw5HPlYa9cPhrQ0MeBzUFd1D0jKZXjTHfM0JUux8yI,끌라우즈,366,141,120,False,False,True,False
GRANDMASTER,iQck8FtbdO5elW9I1wdL3guEobN9o0VOWwEbCNtub1iQ0tk,Iron1 Sugiura,382,203,180,True,False,False,False
GRANDMASTER,zxTWA4zbuRUb5YXhVyAse_JJgaVP2LvoUx3w8N4WLYaX8YQ,SANDBOX Muru,394,340,253,True,False,False,False
GRANDMASTER,_SCD5s8XjUKf7dCHwBUzHndGnCIIkCvGtjw_v9_YQKEt1WE,Gen G Quid,460,525,497,False,False,False,False
GRANDMASTER,-cwbCe8UlE_DdF6oexnVSd34F8vnNKfkcoCnzlwfkveBYCk,암살몬,326,116,61,False,False,False,False
GRANDMASTER,i1wKVB6AtMCl4CCcMRdsBD2tvdQ5kGCC-WiXYTmX3NvJnsw,상록중,238,224,205,False,False,False,False
GRANDMASTER,FKNunxq6Y6wbmZgw-ZAfIj_SkkfmitVYHTMDbik9CDNC-pw,모찌피치모찌피치,413,225,207,False,False,False,False
